Sun Sep 25 23:42:30 PDT 2011
Sender,SampleRate,UnixPlumTime,PlumTime,Voltage,Block Id,Sequence No
143,5,235,Wed Dec 31 16:03:55 PST 1969,4095,3,30
143,5,245,Wed Dec 31 16:04:05 PST 1969,4095,3,31
143,5,250,Wed Dec 31 16:04:10 PST 1969,4095,3,32
143,5,305,Wed Dec 31 16:05:05 PST 1969,4095,3,33
143,5,345,Wed Dec 31 16:05:45 PST 1969,4095,3,34
143,5,390,Wed Dec 31 16:06:30 PST 1969,4095,3,35
143,5,405,Wed Dec 31 16:06:45 PST 1969,4095,3,36
143,5,430,Wed Dec 31 16:07:10 PST 1969,4095,3,37
143,5,435,Wed Dec 31 16:07:15 PST 1969,4095,3,38
143,5,450,Wed Dec 31 16:07:30 PST 1969,4095,3,39
143,5,455,Wed Dec 31 16:07:35 PST 1969,4095,3,40
143,5,460,Wed Dec 31 16:07:40 PST 1969,4095,3,41
143,5,525,Wed Dec 31 16:08:45 PST 1969,4095,3,42
143,5,530,Wed Dec 31 16:08:50 PST 1969,4095,3,43
143,5,535,Wed Dec 31 16:08:55 PST 1969,4095,3,44
143,5,540,Wed Dec 31 16:09:00 PST 1969,4095,3,45
143,5,545,Wed Dec 31 16:09:05 PST 1969,4095,3,46
143,5,565,Wed Dec 31 16:09:25 PST 1969,4095,3,47
143,5,585,Wed Dec 31 16:09:45 PST 1969,4095,3,48
143,5,590,Wed Dec 31 16:09:50 PST 1969,4095,3,49
143,5,740,Wed Dec 31 16:12:20 PST 1969,4095,3,50
143,5,745,Wed Dec 31 16:12:25 PST 1969,4095,3,51
143,5,750,Wed Dec 31 16:12:30 PST 1969,4095,4,52
143,5,755,Wed Dec 31 16:12:35 PST 1969,4095,4,53
143,5,1315798434,Sun Sep 11 20:33:54 PDT 2011,4095,4,54
143,5,1315798440,Sun Sep 11 20:34:00 PDT 2011,4095,4,55
143,5,1315798444,Sun Sep 11 20:34:04 PDT 2011,4095,4,56
143,5,1315798449,Sun Sep 11 20:34:09 PDT 2011,4095,4,57
143,5,1315798523,Sun Sep 11 20:35:23 PDT 2011,4095,4,58
143,5,1315798534,Sun Sep 11 20:35:34 PDT 2011,4095,4,59
143,5,1315798554,Sun Sep 11 20:35:54 PDT 2011,4095,4,60
143,5,1315798559,Sun Sep 11 20:35:59 PDT 2011,4095,4,61
143,5,1315798594,Sun Sep 11 20:36:34 PDT 2011,4095,4,62
143,5,1315798599,Sun Sep 11 20:36:39 PDT 2011,4095,4,63
143,5,1315798604,Sun Sep 11 20:36:44 PDT 2011,4095,4,64
143,5,1315798609,Sun Sep 11 20:36:49 PDT 2011,4095,4,65
143,5,1315798614,Sun Sep 11 20:36:54 PDT 2011,4095,4,66
143,5,1315798619,Sun Sep 11 20:36:59 PDT 2011,4095,4,67
143,5,1315798629,Sun Sep 11 20:37:09 PDT 2011,4095,4,68
143,5,1315798634,Sun Sep 11 20:37:14 PDT 2011,4095,4,69
143,5,1315798664,Sun Sep 11 20:37:44 PDT 2011,4095,4,70
143,5,1315798679,Sun Sep 11 20:37:59 PDT 2011,4095,4,71
143,5,1315798884,Sun Sep 11 20:41:24 PDT 2011,4095,4,72
143,5,1315798888,Sun Sep 11 20:41:28 PDT 2011,4095,4,73
143,5,1315799028,Sun Sep 11 20:43:48 PDT 2011,4095,4,74
143,5,1315799169,Sun Sep 11 20:46:09 PDT 2011,4095,4,75
143,5,1315799179,Sun Sep 11 20:46:19 PDT 2011,4095,4,76
143,5,1315799189,Sun Sep 11 20:46:29 PDT 2011,4095,4,77
143,5,1315799194,Sun Sep 11 20:46:34 PDT 2011,4095,5,78
143,5,1315799214,Sun Sep 11 20:46:54 PDT 2011,4095,5,79
143,5,1315799219,Sun Sep 11 20:46:59 PDT 2011,4095,5,80
143,5,1315799224,Sun Sep 11 20:47:04 PDT 2011,4095,5,81
143,5,1315799239,Sun Sep 11 20:47:19 PDT 2011,4095,5,82
143,5,1315799244,Sun Sep 11 20:47:24 PDT 2011,4095,5,83
143,5,1315799249,Sun Sep 11 20:47:29 PDT 2011,4095,5,84
143,5,1315799579,Sun Sep 11 20:52:59 PDT 2011,4095,5,85
143,5,1315799635,Sun Sep 11 20:53:55 PDT 2011,4095,5,86
143,5,1315799672,Sun Sep 11 20:54:32 PDT 2011,4095,5,87
